ParkingZone,Restriction_Days,Time_Restrictions_Start,Time_Restrictions_Finish,Restriction_Display
7033,Mon-Fri,07:30:00,18:30:00,2P
7047,Sat,07:30:00,12:30:00,2P
7068,Sat,07:30:00,12:30:00,1P
7089,Sat,07:30:00,12:30:00,2P
7109,Sat,07:30:00,12:30:00,1P
7113,Sat,07:30:00,12:30:00,2P
7119,Sat,07:30:00,12:30:00,2P
7123,Mon-Fri,16:00:00,18:30:00,2P
7123,Sat,00:00:00,07:30:00,2P
7128,Mon-Fri,18:30:00,19:00:00,MP2P
7129,Mon-Fri,09:30:00,16:30:00,MP2P
7142,Sat,07:30:00,13:30:00,4P
7152,Mon-Fri,07:30:00,18:30:00,PP
7172,Mon-Fri,16:00:00,18:30:00,2P
7173,Mon-Sat,07:30:00,18:30:00,2P
7196,Mon-Sat,07:30:00,18:30:00,2P
7194,Mon-Sat,07:30:00,18:30:00,2P
7203,Mon-Sat,07:30:00,18:30:00,2P
7204,Mon-Sat,07:30:00,18:30:00,2P
7214,Mon-Sat,07:30:00,18:30:00,2P
7219,Mon-Fri,07:00:00,19:00:00,MP2P
7225,Sat-Sun,07:00:00,22:00:00,MP2P
7229,Mon-Fri,09:30:00,16:00:00,2P
7240,Mon-Fri,19:30:00,23:59:00,SP
7241,Sat,07:30:00,12:30:00,1P
7260,Sat,07:30:00,20:30:00,2P
7284,Sat,07:30:00,12:30:00,2P
7289,Mon-Fri,09:30:00,18:30:00,2P
7306,Mon-Fri,07:00:00,19:00:00,MP2P
7307,Mon-Fri,16:00:00,19:00:00,MP2P
7310,Mon-Fri,07:00:00,19:00:00,MP2P
7310,Mon-Sat,07:30:00,20:30:00,2P
7327,Mon-Fri,07:00:00,19:00:00,MP4P
7329,Mon-Fri,07:00:00,16:00:00,LZ30
7347,Mon-Fri,16:00:00,19:00:00,MP2P
7357,Mon-Fri,19:00:00,22:00:00,MP2P
7376,Mon-Fri,07:30:00,18:30:00,4P
7372,Mon-Fri,07:30:00,18:30:00,PP
7392,Mon-Fri,07:30:00,18:30:00,2P
7402,Mon-Fri,16:00:00,19:00:00,MP2P
7412,Mon-Fri,16:00:00,19:00:00,MP2P
7416,Mon-Fri,07:00:00,16:00:00,LZ30
7417,Mon-Fri,07:00:00,19:00:00,MP2P
7425,Sat-Sun,07:00:00,22:00:00,MP2P
7436,Mon-Fri,07:00:00,19:00:00,MP2P
7444,Mon-Fri,07:00:00,16:00:00,LZ30
7445,Mon-Fri,10:00:00,16:00:00,MP2P
7449,Mon-Fri,10:00:00,16:00:00,MP1P
7455,Mon-Fri,07:00:00,19:00:00,MP2P
7457,Sat-Sun,07:00:00,22:00:00,MP2P
7459,Mon-Fri,07:00:00,16:00:00,LZ30
7471,Sat-Sun,07:00:00,22:00:00,MP2P
7500,Sat-Sun,07:00:00,22:00:00,MP2P
7501,Sat-Sun,07:00:00,22:00:00,MP2P
7508,Mon-Fri,07:00:00,16:00:00,LZ30
7534,Mon-Fri,16:00:00,19:00:00,MP2P
7537,Mon-Fri,07:00:00,19:00:00,MP2P
7539,Mon-Fri,07:00:00,16:00:00,LZ30
7557,Mon-Fri,07:00:00,16:00:00,MP2P
7557,Mon-Fri,19:00:00,22:00:00,MP2P
7568,Mon-Fri,19:00:00,22:00:00,MP2P
7569,Mon-Fri,19:00:00,22:00:00,MP2P
7569,Sat-Sun,07:00:00,22:00:00,MP2P
7570,Sat-Sun,07:00:00,22:00:00,MP2P
7580,Sat-Sun,07:00:00,22:00:00,MP2P
7579,Sat-Sun,07:00:00,22:00:00,MP2P
7584,Mon-Fri,15:00:00,18:30:00,QP
7590,Mon-Fri,07:00:00,16:00:00,LZ30
7593,Mon-Fri,16:00:00,19:00:00,MP2P
7604,Sat-Sun,07:00:00,22:00:00,MP2P
7607,Mon-Fri,07:00:00,19:00:00,MP2P
7614,Sat-Sun,07:00:00,22:00:00,MP2P
7624,Mon-Fri,10:00:00,16:00:00,MP2P
7639,Mon-Fri,07:00:00,19:00:00,MP2P
7637,Mon-Fri,19:00:00,22:00:00,MP2P
7643,Mon-Fri,18:00:00,19:00:00,MP2P
7649,Mon-Fri,19:00:00,22:00:00,MP2P
7655,Sat,07:30:00,12:30:00,2P
7665,Mon-Fri,07:30:00,18:30:00,2P
7687,Mon-Fri,18:30:00,19:00:00,MP2P
7687,Mon-Fri,19:00:00,22:00:00,MP2P
7696,Sat-Sun,07:00:00,22:00:00,MP2P
7716,Mon-Sat,07:30:00,18:30:00,2P
7722,Mon-Fri,07:30:00,18:30:00,1P
7724,Mon-Fri,07:30:00,18:30:00,4P
7725,Sat,07:30:00,12:30:00,1P
7732,Sat,07:30:00,18:30:00,2P
7756,Mon-Fri,07:30:00,18:30:00,4P
7755,Sat-Sun,07:00:00,22:00:00,MP3P
7765,Sat-Sun,07:00:00,22:00:00,MP2P
7769,Mon-Fri,07:00:00,16:00:00,LZ30
7774,Sat-Sun,07:00:00,22:00:00,MP2P
7778,Sat,07:30:00,13:30:00,4P
7791,Mon-Fri,16:00:00,19:00:00,MP2P
7801,Mon-Fri,07:00:00,19:00:00,MP2P
7805,Mon-Fri,07:30:00,18:30:00,PP
7810,Mon-Fri,19:00:00,22:00:00,MP2P
7823,Mon-Fri,19:00:00,22:00:00,MP2P
7831,Sat-Sun,07:00:00,22:00:00,MP3P
7842,Mon-Fri,07:00:00,19:00:00,MP3P
7846,Mon-Fri,19:00:00,22:00:00,MP3P
7847,Mon-Fri,07:00:00,19:00:00,MP3P
7848,Sat-Sun,07:00:00,22:00:00,MP3P
7855,Mon-Fri,07:00:00,19:00:00,MP2P
7856,Mon-Fri,07:00:00,16:00:00,LZ30
7871,Mon-Fri,19:00:00,22:00:00,MP2P
7872,Mon-Fri,19:00:00,22:00:00,MP2P
7875,Mon-Fri,16:00:00,19:00:00,MP2P
7876,Mon-Fri,07:00:00,19:00:00,MP4P
7886,Mon-Fri,07:00:00,19:00:00,MP3P
7893,Mon-Fri,07:00:00,19:00:00,MP3P
7900,Mon-Fri,07:00:00,19:00:00,MP3P
7903,Sat-Sun,07:00:00,22:00:00,MP3P
7899,Mon-Fri,19:00:00,22:00:00,MP3P
7924,Sat,07:30:00,12:30:00,2P
7932,Sat-Sun,07:00:00,22:00:00,MP2P
7942,Sat-Sun,07:00:00,22:00:00,MP2P
7967,Sat-Sun,07:00:00,22:00:00,MP2P
7972,Mon-Fri,19:00:00,22:00:00,MP2P
7975,Mon-Fri,07:30:00,18:30:00,4P
7012,Sat,07:30:00,12:30:00,2P
7023,Sat,07:30:00,12:30:00,2P
7036,Mon-Fri,07:30:00,18:30:00,2P
7066,Sat,07:30:00,12:30:00,2P
7069,Mon-Fri,07:30:00,18:30:00,1P
7072,Mon-Fri,07:30:00,18:30:00,1P
7072,Sat,07:30:00,12:30:00,1P
7082,Mon-Fri,07:30:00,18:30:00,PP
7082,Sat,07:30:00,12:30:00,PP
7083,Sat,07:30:00,12:30:00,2P
7092,Sat,07:30:00,12:30:00,4P
7101,Sat,07:30:00,12:30:00,HP
7103,Mon-Fri,07:30:00,18:30:00,2P
7109,Mon-Fri,07:30:00,18:30:00,1P
7112,Mon-Fri,07:30:00,16:00:00,2P
7119,Mon-Fri,07:30:00,18:30:00,2P
7130,Mon-Fri,09:30:00,16:30:00,LZ30
7133,Mon-Fri,09:30:00,16:00:00,LZ30
7136,Mon-Fri,18:30:00,19:00:00,MP2P
7139,Sat-Sun,07:00:00,22:00:00,MP2P
7141,Mon-Fri,09:30:00,16:00:00,MP2P
7141,Mon-Fri,18:30:00,19:00:00,MP2P
7142,Mon-Fri,07:30:00,16:00:00,4P
7141,Sat-Sun,07:00:00,22:00:00,MP2P
7144,Mon-Fri,18:30:00,19:00:00,MP2P
7149,Mon-Fri,07:30:00,18:30:00,4P
7133,Sat-Sun,07:00:00,22:00:00,MP2P
7165,Mon-Sat,07:30:00,19:30:00,2P
7175,Mon-Sat,07:30:00,18:30:00,2P
7190,Mon-Fri,19:00:00,22:00:00,MP2P
7190,Mon-Fri,16:00:00,19:00:00,MP2P
7195,Mon-Sat,07:30:00,18:30:00,2P
7219,Sat-Sun,07:00:00,22:00:00,MP2P
7220,Mon-Sat,07:30:00,18:30:00,2P
7222,Mon-Fri,16:00:00,18:30:00,QP
7228,Mon-Fri,16:00:00,18:30:00,QP
7232,Mon-Sat,07:30:00,18:30:00,2P
7240,Mon-Fri,00:00:00,07:30:00,SP
7244,Sat,07:30:00,12:30:00,2P
7245,Mon-Fri,09:30:00,18:30:00,2P
7243,Sat,07:30:00,12:30:00,1P
7227,Mon-Sat,07:30:00,18:30:00,2P
7249,Mon-Sat,07:30:00,20:30:00,MP2P
7263,Sat,07:30:00,12:30:00,4P
7273,Sat-Sun,07:00:00,22:00:00,MP2P
7274,Sat-Sun,07:00:00,22:00:00,MP2P
7288,Mon-Fri,07:30:00,18:30:00,2P
7297,Mon-Fri,07:30:00,18:30:00,2P
7317,Mon-Fri,07:00:00,19:00:00,MP4P
7308,Mon-Fri,07:00:00,16:00:00,LZ30
7289,Sat,07:30:00,12:30:00,2P
7322,Mon-Fri,07:00:00,19:00:00,MP4P
7333,Mon-Fri,19:00:00,22:00:00,MP2P
7334,Mon-Fri,07:00:00,16:00:00,LZ30
7338,Mon-Fri,19:00:00,22:00:00,MP2P
7339,Mon-Fri,19:00:00,22:00:00,MP2P
7339,Sat-Sun,07:00:00,22:00:00,MP2P
7343,Sun,07:30:00,18:30:00,FP1P
7345,Sat-Sun,07:00:00,22:00:00,MP2P
7347,Mon-Fri,19:00:00,22:00:00,MP2P
7347,Sat-Sun,07:00:00,22:00:00,MP2P
7350,Mon-Fri,07:00:00,19:00:00,MP2P
7351,Mon-Fri,19:00:00,22:00:00,MP2P
7351,Sat-Sun,07:00:00,22:00:00,MP2P
7359,Mon-Fri,19:00:00,22:00:00,MP2P
7362,Sat-Sun,07:00:00,22:00:00,MP2P
7363,Mon-Fri,19:00:00,22:00:00,MP2P
7365,Mon-Fri,16:00:00,19:00:00,MP2P
7378,Mon-Fri,16:00:00,19:00:00,MP2P
7383,Mon-Fri,07:00:00,19:00:00,MP2P
7384,Mon-Fri,07:00:00,19:00:00,MP2P
7389,Mon-Fri,19:00:00,22:00:00,MP2P
7392,Sat,07:30:00,12:30:00,2P
7393,Mon-Sat,07:30:00,18:30:00,2P
7391,Sun,07:30:00,18:30:00,FP1P
7400,Mon-Fri,07:00:00,16:00:00,LZ30
7404,Mon-Fri,16:00:00,19:00:00,MP2P
7404,Mon-Fri,19:00:00,22:00:00,MP2P
7408,Sat-Sun,07:00:00,22:00:00,MP2P
7413,Mon-Fri,07:30:00,16:00:00,LZ15
7418,Mon-Fri,07:00:00,16:00:00,LZ30
7423,Sat-Sun,07:00:00,22:00:00,MP2P
7413,Mon-Fri,07:00:00,19:00:00,MP2P
7428,Sat-Sun,07:00:00,22:00:00,MP2P
7433,Sat-Sun,07:00:00,22:00:00,MP2P
7437,Mon-Fri,16:00:00,19:00:00,MP2P
7438,Sat-Sun,07:00:00,22:00:00,MP2P
7444,Mon-Fri,19:00:00,22:00:00,MP2P
7444,Sat-Sun,07:00:00,22:00:00,MP2P
7445,Mon-Fri,16:00:00,19:00:00,FP15
7446,Sat-Sun,07:00:00,22:00:00,MP2P
7455,Sat-Sun,07:00:00,22:00:00,MP2P
7458,Mon-Fri,19:00:00,22:00:00,MP2P
7462,Mon-Fri,07:00:00,19:00:00,MP2P
7472,Mon-Fri,19:00:00,22:00:00,MP2P
7478,Mon-Fri,19:00:00,22:00:00,MP2P
7481,Mon-Fri,19:00:00,22:00:00,MP2P
7491,Mon-Fri,07:00:00,16:00:00,LZ30
7492,Mon-Fri,19:00:00,22:00:00,MP2P
7496,Sat-Sun,07:00:00,22:00:00,MP2P
7503,Sat-Sun,07:00:00,22:00:00,MP2P
7504,Mon-Fri,07:00:00,16:00:00,LZ30
7504,Mon-Fri,19:00:00,22:00:00,MP2P
7512,Mon-Fri,07:00:00,16:00:00,LZ30
7514,Mon-Fri,19:00:00,22:00:00,MP2P
7512,Sat-Sun,07:00:00,22:00:00,MP2P
7517,Mon-Fri,19:00:00,22:00:00,MP2P
7518,Sat-Sun,07:00:00,22:00:00,MP2P
7529,Mon-Fri,16:00:00,19:00:00,MP2P
7529,Sat-Sun,07:00:00,22:00:00,MP2P
7533,Mon-Fri,07:00:00,19:00:00,MP2P
7534,Mon-Fri,07:00:00,19:00:00,MP2P
7536,Mon-Fri,17:00:00,22:00:00,MP2P
7541,Mon-Sat,07:30:00,20:30:00,MP2P
7548,Mon-Fri,19:00:00,22:00:00,MP2P
7549,Mon-Fri,19:00:00,22:00:00,MP2P
7562,Sat-Sun,07:00:00,22:00:00,MP2P
7563,Mon-Fri,18:00:00,19:00:00,MP2P
7569,Mon-Fri,16:00:00,19:00:00,MP2P
7573,Mon-Fri,19:00:00,22:00:00,MP2P
7576,Mon-Fri,19:00:00,22:00:00,MP2P
7583,Sat-Sun,07:00:00,22:00:00,MP2P
7590,Mon-Fri,19:00:00,22:00:00,MP2P
7591,Mon-Fri,19:00:00,22:00:00,MP2P
