,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,year,vehicle_type_group
0,4134786,3666505,2715055,1061776,1583939,316904,95196,240946,13815107,2016,PASSENGER VEHICLES
1,4348429,3963818,2919855,1110427,1631779,345929,99311,259701,14679249,2020,PASSENGER VEHICLES
2,4404673,3970844,2975229,1131199,1653342,349959,100676,264753,14850675,2021,PASSENGER VEHICLES
3,15345,13118,14864,4164,8154,4588,223,444,60900,2016,CAMPERVANS
4,19601,15268,18131,5050,8336,5157,189,488,72220,2020,CAMPERVANS
5,20699,15155,18608,5452,8405,5283,211,511,74324,2021,CAMPERVANS
6,804665,652020,775864,199058,380403,99346,44419,29817,2985592,2016,LIGHT COMMERCIAL VEHICLES
7,941140,753341,887239,226726,406009,114299,44762,33500,3407016,2020,LIGHT COMMERCIAL VEHICLES
8,975509,774389,917546,235666,417115,118901,45502,34829,3519457,2021,LIGHT COMMERCIAL VEHICLES
9,48788,31309,35909,7104,17293,3356,623,1044,145426,2016,LIGHT RIGID TRUCKS
10,58530,41478,43220,7947,19071,4281,769,1384,176680,2020,LIGHT RIGID TRUCKS
11,62567,43883,45628,8267,19987,4543,799,1655,187329,2021,LIGHT RIGID TRUCKS
12,91242,79506,71776,22886,54219,8838,4724,1621,334812,2016,HEAVY RIGID TRUCKS
13,101814,88175,76083,22713,54112,9761,4593,1583,358834,2020,HEAVY RIGID TRUCKS
14,103743,89747,77569,22874,54718,10042,4647,1649,364989,2021,HEAVY RIGID TRUCKS
15,21450,26779,20784,8423,15609,1721,1259,160,96185,2016,ARTICULATED TRUCKS
16,23475,30010,23106,8837,16206,2140,1171,192,105137,2020,ARTICULATED TRUCKS
17,25358,31254,23541,9021,17086,2245,1221,201,109927,2021,ARTICULATED TRUCKS
18,2908,6550,5556,1874,5214,965,368,132,23567,2016,NON-FREIGHT CARRYING VEHICLES
19,3490,7466,5444,1863,5056,993,388,141,24841,2020,NON-FREIGHT CARRYING VEHICLES
20,3591,7734,5476,1888,5100,1064,379,146,25378,2021,NON-FREIGHT CARRYING VEHICLES
21,25939,20302,21455,5691,15362,2818,3964,1051,96582,2016,BUSES
22,27838,21853,21989,6077,14945,3112,3532,1127,100473,2020,BUSES
23,26548,20849,21196,6008,15042,3042,3328,1047,97060,2021,BUSES
24,229296,185248,192942,53724,128619,19093,6941,13102,828965,2016,MOTORCYCLES
25,254722,198151,210033,55320,123245,20719,5759,12932,880881,2020,MOTORCYCLES
26,269518,203317,218920,57524,123917,21372,5878,13357,913803,2021,MOTORCYCLES
27,5374419,4681337,3854205,1364700,2208812,457629,157717,288317,18387136,2016,TOTAL MOTOR VEHICLES
28,5779039,5119560,4205100,1444960,2278759,506391,160474,311048,19805331,2020,TOTAL MOTOR VEHICLES
29,5892206,5157172,4303713,1477899,2314712,516451,162641,318148,20142942,2021,TOTAL MOTOR VEHICLES
