OnStreet,2017,2018,2019,2020 (Jan-May)
A'Beckett Street,17162,207986,181125,47136
Albert Street,28565,768962,1137324,266202
Aquitania Way,6266,73848,83826,29763
Augusta Avenue,601,32741,34381,13884
Aurora Lane,4102,96311,84107,29492
Balston Street,759,9752,0,0
Batman Street,5451,144434,174157,46365
Batmans Hill Drive,15431,277911,274725,97729
Bond Street,1365,23667,22756,7717
Bourke Street,103119,1390875,1339008,555483
Brentani Way,650,30487,27160,13894
Capel Street,8924,492535,688321,244515
Caravel Lane,16086,138953,164539,66314
Cathedral Place,7798,268474,273337,102772
Chetwynd Street,4664,436083,565240,202748
Church Street,2752,56722,57238,23697
City Road,9528,144273,142727,47431
Clarendon Street,16241,655727,516517,335003
Cobden Street,7052,325607,324701,141243
Collins Street,79847,650921,667075,282264
Coventry Street,16850,788762,755539,314233
Curzon Street,3461,128989,131809,56992
Docklands Drive,7314,89398,90851,34030
Dodds Street,3955,213431,118913,186076
Doepel Way,901,8158,7743,3237
Dorcas Street,16173,273762,272695,114562
Dudley Street,6011,121137,187847,73695
Eades Street,0,0,25988,69010
Elizabeth Street,37800,305857,348841,152991
Enterprize Way,1790,36857,35967,14093
Errol Street,56214,269632,322273,138335
Exhibition Street,72877,1085243,1170195,444219
Faraday Street,11346,317575,330409,133776
Fawkner Street,283,114,0,0
Fishplate Lane,1015,39703,42632,13941
Flinders Lane,16673,219496,241739,100345
Flinders Street,21850,220866,275392,117092
Francis Street,0,29461,58575,27511
Franklin Street,53983,1109911,1385194,457111
Geographe Street,4103,145779,154823,58265
Georgiana Street,367,16145,17100,6969
Gisborne Street,3504,168190,166288,46237
Grant Street,9060,758887,925189,338477
Harbour Esplanade,14225,379347,388864,154579
Howard Street,6928,481661,646591,242814
Import Lane,1939,89902,90903,37808
Jeffcott Street,13820,196436,272814,97636
Jolimont Terrace,0,26567,418987,129925
Karlsruhe Lane,2251,60968,64254,24004
Kavanagh Street,14855,425869,359134,131175
King Street,63306,910806,1099233,456364
La Trobe Street,55159,573743,776731,330300
Lansdowne Street,12732,508599,536778,192780
Leven Avenue,874,40724,43190,17638
Leveson Street,5170,240739,287065,116996
Little Bourke Street,24261,296859,366405,155925
Little Collins Street,30130,383778,406854,178458
Little Docklands Drive,2226,130439,91992,22383
Little Lonsdale Street,42159,563100,689472,343090
Lonsdale Street,111611,1594707,1586510,581742
MacKenzie Street,2679,67176,73332,33527
Market Street,4856,34525,41240,13326
Merchant Street,15840,170293,204607,82056
Miles Street,3496,175497,198014,77030
Navigation Drive,5460,175326,175334,67828
Nicholson Street,3674,134902,126000,55640
O'Connell Street,8015,401336,414675,173382
Parliament Place,1958,59399,59648,21135
Pearl River Road,6529,58632,143684,69219
Peel Street,1777,81428,68382,23863
Pelham Street,9111,302699,332956,118539
Queen Street,107659,1240676,1332891,470464
Queensberry Street,14656,377004,468560,160527
Rosslyn Street,3529,263913,393717,131473
Royal Parade,6577,403282,419327,163367
Russell Street,53684,616106,674700,309089
Saint Mangos Lane,1597,7720,8361,3255
Saint Mangos Lane North,2235,60686,59562,24415
Seafarer Lane,4285,24845,25592,6394
Simpson Street,0,7030,150933,14719
Spencer Street,29561,179793,184478,76471
Spring Street,34327,677832,703029,311740
St Andrews Place,10312,292397,292985,95325
St Kilda Road,4821,174577,154074,58075
Stanley Street,0,0,17420,20829
Sturt Street,4878,86655,129243,58611
Swanston Street,3784,262774,259928,88185
Therry Street,16251,168561,247098,64705
Victoria Parade,0,3361,213904,61148
Victoria Street,18419,270735,332075,118496
Village Street,7145,133913,130769,47438
Walsh Street,1079,80547,232454,329333
Waterfront Way,12395,217488,62296,38442
Wattle Road,757,23830,25750,10260
Wellington Parade,6840,352675,345392,170621
Wellington Parade South,0,29082,496237,167309
Wells Street,7341,154393,149422,57194
William Street,51357,978298,1158665,390275
Wills Street,3358,65622,78196,34224
