street_name,lat,lon,parking_zone,total_spots,available_spots,restriction_detail
Aquitania Way,-37.81380310416667,144.94223175833332,7156.0,1,0,Mon-Sat 07:30:00-18:30:00 2P
Saint Mangos Lane,-37.813922955555554,144.9412358666667,7160.0,3,0,Mon-Sat 07:30:00-18:30:00 2P
Bourke Street,-37.815945167223944,144.95721328586737,7167.0,3,2,Mon-Sat 07:30:00-18:30:00 2P
Bourke Street,-37.815945167223944,144.95721328586737,7170.0,1,1,Mon-Sat 07:30:00-18:30:00 2P
Bourke Street,-37.815945167223944,144.95721328586737,7173.0,4,2,Mon-Sat 07:30:00-18:30:00 2P
Bourke Street,-37.815945167223944,144.95721328586737,7178.0,4,2,Mon-Sat 07:30:00-18:30:00 2P
Collins Street,-37.81738938625008,144.95753086343998,7186.0,3,2,Mon-Sat 07:30:00-18:30:00 2P
Collins Street,-37.81738938625008,144.95753086343998,7188.0,1,1,Mon-Sat 07:30:00-18:30:00 2P
Collins Street,-37.81738938625008,144.95753086343998,7189.0,1,1,Mon-Fri 07:00:00-19:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7190.0,2,1,Mon-Fri 19:00:00-22:00:00 MP2P
Doepel Way,-37.814600641666665,144.93998075,7193.0,3,2,Mon-Sat 07:30:00-18:30:00 2P
Docklands Drive,-37.8131562,144.94227694,7195.0,5,2,Mon-Sat 07:30:00-18:30:00 2P
Geographe Street,-37.82016385714286,144.9454077095238,7197.0,2,1,Mon-Sat 07:30:00-18:30:00 2P
Karlsruhe Lane,-37.8210705,144.945388125,7208.0,1,0,Mon-Sat 07:30:00-18:30:00 2P
Little Docklands Drive,-37.81264080714286,144.9403121357143,7210.0,2,0,Mon-Fri 07:30:00-09:30:00 SP
Pearl River Road,-37.813268585185185,144.93684907407408,7220.0,4,1,Mon-Sat 07:30:00-18:30:00 2P
Saint Mangos Lane North,-37.8130789,144.940665575,7226.0,5,4,Mon-Fri 15:00:00-16:30:00 SP
Waterfront Way,-37.81295130333333,144.93900841,7232.0,4,1,Mon-Sat 07:30:00-18:30:00 2P
Albert Street,-37.80979275855035,144.9779117024057,7234.0,2,0,Sat 07:30:00-12:30:00 1P
Albert Street,-37.80979275855035,144.9779117024057,7236.0,4,3,Mon-Fri 09:30:00-18:30:00 1P
Albert Street,-37.80979275855035,144.9779117024057,7237.0,2,2,Sat 07:30:00-12:30:00 2P
Albert Street,-37.80979275855035,144.9779117024057,7239.0,6,2,Sat 07:30:00-12:30:00 2P
Albert Street,-37.80979275855035,144.9779117024057,7241.0,1,1,Sat 07:30:00-12:30:00 1P
Albert Street,-37.80979275855035,144.9779117024057,7245.0,6,1,Mon-Fri 09:30:00-18:30:00 2P
Cathedral Place,-37.81085721730769,144.97687489423078,7247.0,10,7,Mon-Sat 07:30:00-18:30:00 2P
Eades Street,-37.809563551515154,144.9810747242424,7251.0,4,2,Mon-Fri 07:30:00-18:30:00 2P
Eades Street,-37.809563551515154,144.9810747242424,7252.0,2,1,Mon-Fri 07:30:00-18:30:00 2P
Gisborne Street,-37.81015873333333,144.97560430952382,7253.0,8,1,Sat 07:30:00-12:30:00 2P
Lansdowne Street,-37.811805374505326,144.97803573011797,7258.0,10,4,Mon-Fri 07:30:00-18:30:00 2P
Pearl River Road,-37.813268585185185,144.93684907407408,7261.0,3,1,Mon-Sat 07:30:00-18:30:00 2P
Lansdowne Street,-37.811805374505326,144.97803573011797,7264.0,2,0,Mon-Fri 07:30:00-18:30:00 1P
Nicholson Street,-37.8100845047619,144.97291765238094,7265.0,1,1,Mon-Fri 07:30:00-18:30:00 2P
Parliament Place,-37.81124129411765,144.97548673529414,7269.0,5,1,Mon-Sat 07:30:00-18:30:00 2P
Spring Street,-37.81095852879579,144.97282818482233,7275.0,2,1,Mon-Fri 19:00:00-22:00:00 MP2P
St Andrews Place,-37.811961654,144.97637023200002,7278.0,1,1,Mon-Sat 07:30:00-18:30:00 1P
St Andrews Place,-37.811961654,144.97637023200002,7280.0,3,0,Mon-Sat 07:30:00-18:30:00 2P
Bourke Street,-37.815945167223944,144.95721328586737,7320.0,5,1,Mon-Fri 07:00:00-19:00:00 MP2P
Bond Street,-37.818114944444446,144.9627614,7329.0,4,3,Mon-Fri 07:00:00-16:00:00 LZ30
Bond Street,-37.818114944444446,144.9627614,7331.0,2,2,Mon-Fri 07:00:00-19:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7333.0,1,0,Mon-Fri 19:00:00-22:00:00 MP2P
Little Collins Street,-37.81554350728906,144.96247221168474,7333.0,1,0,Mon-Fri 19:00:00-22:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7334.0,5,2,Mon-Fri 07:00:00-16:00:00 LZ30
Bourke Street,-37.815945167223944,144.95721328586737,7335.0,1,0,Sat-Sun 07:00:00-22:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7336.0,2,0,Sat-Sun 07:00:00-22:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7339.0,3,0,Mon-Fri 19:00:00-22:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7340.0,3,2,Mon-Fri 16:00:00-19:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7343.0,4,3,Sun 07:30:00-18:30:00 FP1P
Collins Street,-37.81738938625008,144.95753086343998,7344.0,4,2,Mon-Fri 16:00:00-19:00:00 MP2P
Bourke Street,-37.815945167223944,144.95721328586737,7345.0,3,2,Sat-Sun 07:00:00-22:00:00 MP2P
Bromby Street,-37.83498771146199,144.9770214154386,7348.0,4,2,Mon-Fri 07:30:00-23:00:00 2P
Church Street,-37.816520450000006,144.95726971666667,7350.0,4,1,Mon-Fri 07:00:00-19:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7355.0,3,1,Mon-Fri 07:00:00-19:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7356.0,1,0,Mon-Fri 19:00:00-22:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7358.0,2,0,Mon-Fri 19:00:00-22:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7359.0,10,2,Mon-Fri 19:00:00-22:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7360.0,2,1,Mon-Fri 19:00:00-22:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7362.0,8,5,Sat-Sun 07:00:00-22:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7363.0,1,0,Mon-Fri 19:00:00-22:00:00 MP2P
Collins Street,-37.81738938625008,144.95753086343998,7366.0,5,1,Mon-Fri 07:00:00-16:00:00 LZ30
Downie Street,-37.820200508333336,144.95570940000002,7377.0,2,2,Sat-Sun 07:00:00-22:00:00 MP2P
Elizabeth Street,-37.812864045454546,144.96252708181817,7379.0,1,0,Sat-Sun 07:00:00-22:00:00 MP2P
Exhibition Street,-37.81215809682972,144.97062316890197,7396.0,1,0,Mon-Fri 16:00:00-19:00:00 MP2P
Exhibition Street,-37.81215809682972,144.97062316890197,7399.0,1,0,Mon-Fri 19:00:00-22:00:00 MP2P
Exhibition Street,-37.81215809682972,144.97062316890197,7400.0,3,0,Mon-Fri 07:00:00-16:00:00 LZ30
Exhibition Street,-37.81215809682972,144.97062316890197,7401.0,2,1,Mon-Fri 10:00:00-16:00:00 MP2P
Exhibition Street,-37.81215809682972,144.97062316890197,7402.0,2,2,Mon-Fri 16:00:00-19:00:00 MP2P
Exhibition Street,-37.81215809682972,144.97062316890197,7406.0,9,5,Sat-Sun 07:00:00-22:00:00 MP2P
Exhibition Street,-37.81215809682972,144.97062316890197,7411.0,3,0,Mon-Fri 16:00:00-19:00:00 MP2P
Flinders Lane,-37.81729454031608,144.9641538845997,7412.0,2,1,Mon-Fri 16:00:00-19:00:00 MP2P
